Section,Screen Name,Prompt,Color Notes
WEB_DASHBOARD,Upload Files,"Design Upload Files modal with white background. Navy header 'Upload Files' (#1e3a5f). Drag-and-drop zone with dashed border. Category selector (Progress, Contract, Site Photo, Invoice, Report) with orange selected state (#ff6b35). Light input for description (#e8eef5). File preview thumbnails. Orange 'Upload' button (#ff6b35), gray 'Cancel'.","White modal, Navy header (#1e3a5f), Orange selections (#ff6b35), Light inputs (#e8eef5)"
WEB_DASHBOARD,View Project Files,"Create Project Files gallery with navy header (#1e3a5f), light background (#f5f7fa). Photo thumbnails in grid with orange category badges (#ff6b35). Filter chips with navy borders. PDF icons for documents. Full-screen lightbox viewer with navy controls. Download button in orange (#ff6b35). Clean, organized layout.","Navy header (#1e3a5f), Orange badges (#ff6b35), White cards, Light bg (#f5f7fa)"
WEB_DASHBOARD,Settings,"Design Settings page with navy header (#1e3a5f), light background (#f5f7fa). White card sections: Company Info (editable fields with light backgrounds #e8eef5), Change Password, Worker Permissions. Orange 'Save Changes' buttons (#ff6b35). Professional, organized layout with clear sections.","Navy header (#1e3a5f), White cards, Light inputs (#e8eef5), Orange buttons (#ff6b35)"
MOBILE_APP,Worker Login,"Create Worker Login with navy blue (#1e3a5f) header showing RouteWise logo, light background (#f5f7fa), white input card. Phone number input with icon, password input with show/hide toggle. Large orange 'Sign In' button (#ff6b35) with rounded corners. Large touch targets (min 48px height). Professional style matching web login.","Navy header (#1e3a5f), White card, Orange button (#ff6b35), Light bg (#f5f7fa)"
MOBILE_APP,My Projects,"Design My Projects with navy header (#1e3a5f) showing 'My Projects' title and filter icon. Light background (#f5f7fa), white project cards with shadows. Each card: project title (navy), address (gray), customer name, orange 'In Progress' badge (#ff6b35) or green 'Completed'. Large tap targets. Pull-to-refresh. Clear status indicators.","Navy header (#1e3a5f), White cards, Orange status (#ff6b35), Light bg (#f5f7fa)"
MOBILE_APP,Project Details,"Build mobile Project Details with navy header (#1e3a5f) showing project title. White content cards on light background. Sections: Project Info, Customer Contact (tap to call), Safety Notes (orange alert icon #ff6b35). Large action buttons at bottom: 'Take Photo' (orange #ff6b35), 'View Files', 'Update Status'. Easy thumb reach.","Navy header (#1e3a5f), White cards, Orange CTAs (#ff6b35), Light bg (#f5f7fa)"
MOBILE_APP,Take Photo,"Create Take Photo screen with full camera viewfinder. Navy top bar (#1e3a5f) with back button. Large orange circular capture button at bottom (#ff6b35). After capture: preview with 'Retake' (gray) and 'Continue' (orange #ff6b35) buttons. Then show category picker with large, visual options and orange selected state. Light input for notes (#e8eef5).","Navy controls (#1e3a5f), Orange capture button (#ff6b35), Light inputs (#e8eef5)"
MOBILE_APP,Upload Photo,"Design Upload Photo screen with navy header (#1e3a5f) 'Upload Photo'. Photo preview at top. Category picker with large, tappable options showing icons: Progress (blue), Site Photo (green), Safety (red), Materials (orange #ff6b35). Selected category has orange background. Light input for notes (#e8eef5). Large orange 'Upload' button at bottom with progress bar.","Navy header (#1e3a5f), Orange selections (#ff6b35), Light bg (#f5f7fa)"
MOBILE_APP,View Project Files,"Create mobile Files gallery with navy header (#1e3a5f) and filter icon. Photo grid (2 columns) on light background with orange category badges (#ff6b35) on thumbnails. Tap to open full-screen viewer with swipe navigation. Navy controls overlay. Download/share icons. Clean, touch-optimized layout.","Navy header (#1e3a5f), Orange badges (#ff6b35), Light bg (#f5f7fa)"
MOBILE_APP,Update Project Status,"Create Status Update screen with navy header (#1e3a5f) 'Update Status'. Large, clear status buttons in cards: 'Started Work' (blue), 'In Progress' (orange #ff6b35), 'Break' (gray), 'Completed Today' (green), 'Issue/Blocked' (red). Each 60px+ height. Optional light input for notes (#e8eef5) at bottom. Orange 'Save' button (#ff6b35).","Navy header (#1e3a5f), Orange active (#ff6b35), Large buttons, Light bg (#f5f7fa)"
MOBILE_APP,My Profile,"Design Worker Profile with navy header (#1e3a5f) 'Profile'. White card with worker avatar/initials at top. Display name, phone, role (gray text). Stats section with orange numbers (#ff6b35): Active Projects, Photos Uploaded This Week. Light background (#f5f7fa). Red 'Logout' button at bottom. Clean, simple layout.","Navy header (#1e3a5f), Orange stats (#ff6b35), White card, Light bg (#f5f7fa)"
